epsilon,chi,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n
0.025,3,901.3,9.013,423.0,4.23,7.3,0.073,973.775,9.738,764.0,7.64,76.775,0.768
0.025,5,908.89,9.089,366.0,3.66,12.89,0.129,1024.05,10.24,727.0,7.27,128.05,1.28
0.025,7,916.62,9.166,371.0,3.71,25.62,0.256,1019.325,10.193,680.0,6.8,123.325,1.233
0.05,3,906.4,9.064,405.0,4.05,12.4,0.124,1050.55,10.505,764.0,7.64,153.55,1.535
0.05,5,921.9,9.219,360.0,3.6,29.9,0.299,1152.1,11.521,727.0,7.27,256.1,2.561
0.05,7,935.85,9.358,366.0,3.66,31.85,0.319,1142.65,11.426,680.0,6.8,246.65,2.466
0.1,3,915.7,9.157,416.0,4.16,15.7,0.157,1204.1,12.041,764.0,7.64,307.1,3.071
0.1,5,942.1,9.421,317.0,3.17,27.1,0.271,1408.2,14.082,727.0,7.27,512.2,5.122
0.1,7,963.0,9.63,298.0,2.98,32.0,0.32,1389.3,13.893,680.0,6.8,493.3,4.933
