I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
150,0,3,4.913333266666661,6.835487213936065,4.9133,0.0
150,0,4,4.913333266666661,6.835487213936065,4.9133,0.0
150,0,5,4.913333266666661,6.835487213936065,4.9133,0.0
150,0,6,4.913333266666661,6.835487213936065,4.9133,0.0
150,0,7,4.913333266666661,6.835487213936065,4.9133,0.0
150,0,8,4.913333266666661,6.835487213936065,4.9133,0.0
150,0.01,3,5.164306605983065,6.835487213936065,4.9133,0.25097333931640015
150,0.01,4,5.277813272649734,6.835487213936065,4.9133,0.3644800059830676
150,0.01,5,5.390688144444607,6.835487213936065,4.9133,0.47735487777793845
150,0.01,6,5.4662491700856295,6.835487213936065,4.9133,0.552915903418964
150,0.01,7,5.511820452136912,6.835487213936065,4.9133,0.5984871854702464
150,0.01,8,5.536143529059989,6.835487213936065,4.9133,0.6228102623933238
150,0.02,3,5.415279945299468,6.835487213936065,4.9133,0.5019466786328003
150,0.02,4,5.6422932786328,6.835487213936065,4.9133,0.7289600119661352
150,0.02,5,5.868043022222543,6.835487213936065,4.9133,0.9547097555558769
150,0.02,6,6.019165073504597,6.835487213936065,4.9133,1.105831806837928
150,0.02,7,6.1103076376071614,6.835487213936065,4.9133,1.1969743709404927
150,0.02,8,6.158953791453315,6.835487213936065,4.9133,1.2456205247866476
150,0.03,3,5.666253284615866,6.835487213936065,4.9133,0.7529200179491997
150,0.03,4,6.006773284615867,6.835487213936065,4.9133,1.0934400179492005
150,0.03,5,6.345397900000484,6.835487213936065,4.9133,1.4320646333338145
150,0.03,6,6.57208097692356,6.835487213936065,4.9133,1.6587477102568933
150,0.03,7,6.7087948230774055,6.835487213936065,4.9133,1.7954615564107388
150,0.03,8,6.781764053846639,6.835487213936065,4.9133,1.8684307871799697
150,0.04,3,5.917226623932267,6.835487213936065,4.9133,1.0038933572656006
150,0.04,4,6.371253290598937,6.835487213936065,4.9133,1.4579200239322705
150,0.04,5,6.822752777778423,6.835487213936065,4.9133,1.9094195111117538
150,0.04,6,7.124996880342525,6.835487213936065,4.9133,2.211663613675856
150,0.04,7,7.307282008547653,6.835487213936065,4.9133,2.3939487418809855
150,0.04,8,7.404574316239962,6.835487213936065,4.9133,2.4912410495732953
150,0.05,3,6.168199963248667,6.835487213936065,4.9133,1.2548666965820001
150,0.05,4,6.735733296582001,6.835487213936065,4.9133,1.8224000299153318
150,0.05,5,7.300107655556357,6.835487213936065,4.9133,2.3867743888896906
150,0.05,6,7.677912783761491,6.835487213936065,4.9133,2.7645795170948237
150,0.05,7,7.905769194017896,6.835487213936065,4.9133,2.9924359273512318
150,0.05,8,8.027384578633283,6.835487213936065,4.9133,3.1140513119666164
150,0.06,3,6.419173302565067,6.835487213936065,4.9133,1.5058400358983994
150,0.06,4,7.100213302565068,6.835487213936065,4.9133,2.186880035898401
150,0.06,5,7.777462533334294,6.835487213936065,4.9133,2.864129266667629
150,0.06,6,8.230828687180452,6.835487213936065,4.9133,3.3174954205137865
150,0.06,7,8.504256379488144,6.835487213936065,4.9133,3.5909231128214776
150,0.06,8,8.650194841026604,6.835487213936065,4.9133,3.7368615743599394
150,0.07,3,6.670146641881468,6.835487213936065,4.9133,1.7568133752148
150,0.07,4,7.464693308548134,6.835487213936065,4.9133,2.551360041881468
150,0.07,5,8.254817411112237,6.835487213936065,4.9133,3.3414841444455683
150,0.07,6,8.783744590599413,6.835487213936065,4.9133,3.870411323932749
150,0.07,7,9.10274356495839,6.835487213936065,4.9133,4.18941029829172
150,0.07,8,9.273005103419925,6.835487213936065,4.9133,4.359671836753256
150,0.08,3,6.921119981197865,6.835487213936065,4.9133,2.007786714531201
150,0.08,4,7.8291733145312055,6.835487213936065,4.9133,2.915840047864541
150,0.08,5,8.732172288890178,6.835487213936065,4.9133,3.8188390222235076
150,0.08,6,9.336660494018385,6.835487213936065,4.9133,4.423327227351712
150,0.08,7,9.701230750428639,6.835487213936065,4.9133,4.787897483761971
150,0.08,8,9.895815365813258,6.835487213936065,4.9133,4.982482099146591
150,0.09,3,7.172093320514268,6.835487213936065,4.9133,2.2587600538476007
150,0.09,4,8.193653320514265,6.835487213936065,4.9133,3.2803200538475994
150,0.09,5,9.209527166668115,6.835487213936065,4.9133,4.296193900001449
150,0.09,6,9.88957639743734,6.835487213936065,4.9133,4.976243130770675
150,0.09,7,10.299717935898878,6.835487213936065,4.9133,5.386384669232216
150,0.09,8,10.518625628206575,6.835487213936065,4.9133,5.605292361539907
150,0.1,3,7.423066659830665,6.835487213936065,4.9133,2.5097333931640002
150,0.1,4,8.558133326497332,6.835487213936065,4.9133,3.6448000598306636
150,0.1,5,9.686882044446048,6.835487213936065,4.9133,4.773548777779381
150,0.1,6,10.442492300856316,6.835487213936065,4.9133,5.5291590341896475
150,0.1,7,10.898205121369127,6.835487213936065,4.9133,5.9848718547024635
150,0.1,8,11.141435890599896,6.835487213936065,4.9133,6.228102623933233
