I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
150,Medium,0,3,1119.0,1119.0,38,1119.0,7.46,1102.28571,7.34857,6.85714,0.04571,0.17749,-0.48413,-0.16799,1119.0
150,Medium,0,4,1118.99999,1118.99999,42,1118.99999,7.46,1029.2381,6.86159,42.57142,0.28381,0.2619,-0.40226,-0.19435,1119.0
150,Medium,0,5,1119.0,1119.0,54,1119.0,7.46,1121.5,7.47667,6.16667,0.04111,0.29752,-0.37857,-0.1819,1119.0
150,Medium,0,6,1118.99999,1118.99999,73,1118.99999,7.46,1102.38096,7.34921,38.71428,0.2581,0.1381,-0.32857,-0.0769,1119.0
150,Medium,0,7,1118.99999,1118.99999,45,1118.99999,7.46,1107.0,7.38,38.5238,0.25683,0.17749,-0.40226,-0.11868,1119.0
150,Medium,0.02,3,1126.36,1125.64247,144,1126.36,7.50907,644.5,4.29667,7.36,0.04907,0.49451,-0.29221,-0.13084,1126.36
150,Medium,0.02,4,1130.4,1129.46862,172,1130.4,7.536,601.09524,4.0073,10.06667,0.06711,0.25404,-0.23292,-0.10576,1130.4
150,Medium,0.02,5,1137.4,1136.32309,164,1137.4,7.58267,13091.25,87.275,-278.85,-1.859,0.34416,-0.23292,-0.09902,1137.4
150,Medium,0.02,6,1143.64,1143.07346,147,1143.64,7.62427,561.42857,3.74286,18.83048,0.12554,0.2619,-0.23292,-0.06069,1143.64
150,Medium,0.02,7,1149.18,1148.34254,151,1149.18,7.6612,543.0,3.62,23.18,0.15453,0.29752,-0.29221,-0.00831,1149.18
150,Medium,0.04,3,1132.64,1132.08575,169,1132.64,7.55093,637.11765,4.24745,15.58118,0.10387,0.15476,-0.29221,-0.09763,1132.64
150,Medium,0.04,4,1140.0,1139.4251,106,1140.0,7.6,572.85714,3.81905,12.14286,0.08095,0.40476,-0.23292,-0.07698,1140.0
150,Medium,0.04,5,1152.0,1151.26022,173,1152.0,7.68,538.04762,3.58698,17.38095,0.11587,0.15476,-0.23292,-0.10923,1152.0
150,Medium,0.04,6,1164.36,1163.62661,116,1164.36,7.7624,507.57143,3.38381,27.16952,0.18113,0.24476,-0.23292,-0.11004,1164.36
150,Medium,0.04,7,1175.6,1174.28025,112,1175.6,7.83733,487.19048,3.24794,38.88571,0.25924,0.24476,-0.23292,-0.0444,1175.6
150,Medium,0.06,3,1139.12,1138.17203,116,1139.12,7.59413,581.0,3.87333,10.12,0.06747,0.24476,-0.23292,-0.109,1139.12
150,Medium,0.06,4,1146.16,1145.39087,117,1146.16,7.64107,539.26667,3.59511,12.16,0.08107,0.17749,-0.23292,-0.07768,1146.16
150,Medium,0.06,5,1160.98,1160.52396,103,1160.98,7.73987,502.7619,3.35175,22.98,0.1532,0.24476,-0.23292,-0.13546,1160.98
150,Medium,0.06,6,1176.76,1176.2626,123,1176.76,7.84507,432.90476,2.88603,26.76,0.1784,0.45604,-0.18944,-0.10446,1176.76
150,Medium,0.06,7,1193.0,1192.10889,89,1193.0,7.95333,409.47619,2.72984,35.85714,0.23905,0.25404,-0.18944,-0.06206,1193.0
150,Medium,0.08,3,1143.12,1141.8955,98,1143.12,7.6208,537.0,3.58,9.12,0.0608,0.15476,-0.23292,-0.11964,1143.12
150,Medium,0.08,4,1149.76,1149.13231,105,1149.76,7.66507,520.61905,3.47079,12.76,0.08507,0.24476,-0.23292,-0.08313,1149.76
150,Medium,0.08,5,1168.64,1168.18075,102,1168.64,7.79093,498.13333,3.32089,26.64,0.1776,0.24476,-0.23292,-0.10847,1168.64
150,Medium,0.08,6,1183.36,1183.07074,150,1183.36,7.88907,384.2381,2.56159,17.31238,0.11542,0.24476,-0.17857,,1183.36
150,Medium,0.08,7,1203.52,1202.59106,83,1203.52,8.02347,415.61905,2.77079,31.61524,0.21077,0.24476,-0.17857,-0.04796,1203.52
150,Medium,0.1,3,1144.8,1144.33511,88,1144.8,7.632,508.19048,3.38794,7.75238,0.05168,0.05404,-0.29221,-0.12056,1144.8
150,Medium,0.1,4,1152.9,1152.42082,119,1152.9,7.686,521.33333,3.47556,13.04286,0.08695,0.24476,-0.18944,-0.09548,1152.9
150,Medium,0.1,5,1174.2,1173.80064,123,1174.2,7.828,482.66667,3.21778,20.05714,0.13371,0.15476,-0.18944,-0.10361,1174.2
150,Medium,0.1,6,1187.6,1187.36605,113,1187.6,7.91733,394.28571,2.62857,18.6,0.124,0.24476,-0.17857,-0.0869,1187.6
150,Medium,0.1,7,1212.1,1211.48263,91,1212.1,8.08067,391.38095,2.60921,36.8619,0.24575,0.24476,-0.17857,-0.04258,1212.1
