I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
150,0,3,10.0,6.696699672993181,10.0,0.0
150,0,4,10.0,6.696699672993181,10.0,0.0
150,0,5,10.0,6.696699672993181,10.0,0.0
150,0,6,10.0,6.696699672993181,10.0,0.0
150,0,7,10.0,6.696699672993181,10.0,0.0
150,0,8,10.0,6.696699672993181,10.0,0.0
150,0.01,3,10.19826996749471,6.696699672993181,10.0,0.19826996749470388
150,0.01,4,10.254773597857742,6.696699672993181,10.0,0.25477359785774023
150,0.01,5,10.381494389936947,6.696699672993181,10.0,0.38149438993694823
150,0.01,6,10.462575578055759,6.696699672993181,10.0,0.46257557805576
150,0.01,7,10.518849505448502,6.696699672993181,10.0,0.5188495054485002
150,0.01,8,10.532819142412201,6.696699672993181,10.0,0.5328191424121959
150,0.02,3,10.396539934989406,6.696699672993181,10.0,0.39653993498940776
150,0.02,4,10.509547195715486,6.696699672993181,10.0,0.5095471957154805
150,0.02,5,10.762988779873897,6.696699672993181,10.0,0.7629887798738965
150,0.02,6,10.925151156111523,6.696699672993181,10.0,0.92515115611152
150,0.02,7,11.037699010897004,6.696699672993181,10.0,1.0376990108970003
150,0.02,8,11.065638284824393,6.696699672993181,10.0,1.0656382848243917
150,0.03,3,10.594809902484112,6.696699672993181,10.0,0.5948099024841128
150,0.03,4,10.764320793573223,6.696699672993181,10.0,0.7643207935732208
150,0.03,5,11.144483169810849,6.696699672993181,10.0,1.1444831698108453
150,0.03,6,11.387726734167277,6.696699672993181,10.0,1.3877267341672805
150,0.03,7,11.556548516345497,6.696699672993181,10.0,1.5565485163454975
150,0.03,8,11.598457427236589,6.696699672993181,10.0,1.5984574272365863
150,0.04,3,10.793079869978815,6.696699672993181,10.0,0.7930798699788155
150,0.04,4,11.019094391430963,6.696699672993181,10.0,1.019094391430961
150,0.04,5,11.52597755974779,6.696699672993181,10.0,1.525977559747793
150,0.04,6,11.850302312223038,6.696699672993181,10.0,1.85030231222304
150,0.04,7,12.075398021793998,6.696699672993181,10.0,2.0753980217940007
150,0.04,8,12.131276569648788,6.696699672993181,10.0,2.1312765696487834
150,0.05,3,10.991349837473525,6.696699672993181,10.0,0.9913498374735202
150,0.05,4,11.273867989288707,6.696699672993181,10.0,1.2738679892887037
150,0.05,5,11.907471949684746,6.696699672993181,10.0,1.9074719496847403
150,0.05,6,12.312877890278799,6.696699672993181,10.0,2.312877890278799
150,0.05,7,12.594247527242501,6.696699672993181,10.0,2.5942475272424974
150,0.05,8,12.66409571206098,6.696699672993181,10.0,2.664095712060979
150,0.06,3,11.189619804968226,6.696699672993181,10.0,1.1896198049682256
150,0.06,4,11.52864158714644,6.696699672993181,10.0,1.5286415871464416
150,0.06,5,12.28896633962169,6.696699672993181,10.0,2.2889663396216906
150,0.06,6,12.775453468334566,6.696699672993181,10.0,2.775453468334561
150,0.06,7,13.113097032690998,6.696699672993181,10.0,3.113097032690995
150,0.06,8,13.19691485447318,6.696699672993181,10.0,3.1969148544731727
150,0.07,3,11.387889772462929,6.696699672993181,10.0,1.3878897724629278
150,0.07,4,11.783415185004191,6.696699672993181,10.0,1.7834151850041837
150,0.07,5,12.670460729558636,6.696699672993181,10.0,2.67046072955864
150,0.07,6,13.23802904639032,6.696699672993181,10.0,3.238029046390321
150,0.07,7,13.631946538139498,6.696699672993181,10.0,3.6319465381394944
150,0.07,8,13.729733996885365,6.696699672993181,10.0,3.7297339968853693
150,0.08,3,11.586159739957628,6.696699672993181,10.0,1.586159739957631
150,0.08,4,12.038188782861923,6.696699672993181,10.0,2.038188782861922
150,0.08,5,13.051955119495586,6.696699672993181,10.0,3.051955119495586
150,0.08,6,13.700604624446079,6.696699672993181,10.0,3.70060462444608
150,0.08,7,14.150796043588008,6.696699672993181,10.0,4.150796043588001
150,0.08,8,14.262553139297562,6.696699672993181,10.0,4.262553139297567
150,0.09,3,11.784429707452334,6.696699672993181,10.0,1.7844297074523363
150,0.09,4,12.292962380719665,6.696699672993181,10.0,2.292962380719664
150,0.09,5,13.433449509432537,6.696699672993181,10.0,3.4334495094325352
150,0.09,6,14.163180202501843,6.696699672993181,10.0,4.163180202501845
150,0.09,7,14.669645549036494,6.696699672993181,10.0,4.669645549036495
150,0.09,8,14.79537228170976,6.696699672993181,10.0,4.795372281709764
150,0.1,3,11.982699674947042,6.696699672993181,10.0,1.9826996749470405
150,0.1,4,12.547735978577402,6.696699672993181,10.0,2.5477359785774074
150,0.1,5,13.814943899369483,6.696699672993181,10.0,3.8149438993694806
150,0.1,6,14.62575578055761,6.696699672993181,10.0,4.625755780557598
150,0.1,7,15.188495054485,6.696699672993181,10.0,5.188495054484995
150,0.1,8,15.328191424121952,6.696699672993181,10.0,5.328191424121958
