I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
50,Medium,0.08,3,353.08,352.55773,112,353.08,7.0616,179.51485,3.5903,3.68396,0.07368,0.28476,-0.24675,-0.12092,353.08
50,Medium,0.08,4,357.84,356.99128,145,357.84,7.1568,156.65347,3.13307,5.29545,0.10591,0.24476,-0.23292,-0.09703,357.84
50,Medium,0.08,5,364.56,363.51947,120,364.56,7.2912,142.13861,2.84277,9.05505,0.1811,0.24476,-0.18944,-0.0707,364.56
50,Medium,0.08,6,366.64,366.16999,125,366.64,7.3328,126.85149,2.53703,7.72911,0.15458,0.24476,-0.17857,,366.64
50,Medium,0.08,7,373.04,371.39137,104,373.04,7.4608,126.45545,2.52911,10.47564,0.20951,0.24476,-0.17857,,373.04
50,Medium,0.08,8,377.88,376.49025,114,377.88,7.5576,104.78218,2.09564,9.48396,0.18968,0.45604,-0.12857,-0.05215,377.88
50,Medium,0.09,3,353.84,353.22021,127,353.84,7.0768,185.15842,3.70317,5.46376,0.10928,0.1131,-0.24675,-0.12829,353.84
50,Medium,0.09,4,358.48,357.74121,135,358.48,7.1696,151.84158,3.03683,4.75723,0.09514,0.15476,-0.18944,-0.09343,358.48
50,Medium,0.09,5,365.56,364.8139,147,365.56,7.3112,130.44554,2.60891,6.91644,0.13833,0.24476,-0.17857,-0.07231,365.56
50,Medium,0.09,6,368.1,367.31262,115,368.1,7.362,123.93069,2.47861,6.42673,0.12853,0.24476,-0.18944,-0.06972,368.1
50,Medium,0.09,7,374.09,372.7475,99,374.09,7.4818,121.86139,2.43723,8.0801,0.1616,0.28476,-0.1369,-0.05727,374.09
50,Medium,0.09,8,378.7,377.82515,96,378.7,7.574,101.66337,2.03327,7.08614,0.14172,-0.00265,-0.12857,-0.06344,378.7
50,Medium,0.1,3,354.4,353.84106,173,354.4,7.088,177.64356,3.55287,4.14257,0.08285,-0.04396,-0.24675,-0.13642,354.4
50,Medium,0.1,4,359.3,358.36347,160,359.3,7.186,149.53465,2.99069,4.3297,0.08659,0.15476,-0.17857,-0.09752,359.3
50,Medium,0.1,5,366.3,365.77167,100,366.3,7.326,130.75248,2.61505,7.87426,0.15749,0.1131,-0.18944,-0.08391,366.3
50,Medium,0.1,6,369.1,368.32199,104,369.1,7.382,119.59406,2.39188,6.24851,0.12497,0.24476,-0.17857,-0.06429,369.1
50,Medium,0.1,7,375.9,373.84019,117,375.9,7.518,119.65347,2.39307,11.58317,0.23166,0.09752,-0.12857,-0.07019,375.9
50,Medium,0.1,8,379.7,378.93957,138,379.7,7.594,99.53465,1.99069,6.23465,0.12469,-0.03968,-0.12857,-0.0627,379.7
