I,epsilon,chi,undercover_norm,cons_norm,understaffing_norm,perf_norm
50,0,3,6.9399999999999995,6.085,6.94,0.0
50,0,4,6.9399999999999995,6.085,6.94,0.0
50,0,5,6.9399999999999995,6.085,6.94,0.0
50,0,6,6.9399999999999995,6.085,6.94,0.0
50,0,7,6.9399999999999995,6.085,6.94,0.0
50,0,8,6.9399999999999995,6.085,6.94,0.0
50,0.01,3,7.149275,6.085,6.94,0.20927500000000002
50,0.01,4,7.2817,6.085,6.94,0.34169999999999995
50,0.01,5,7.346525,6.085,6.94,0.4065250000000001
50,0.01,6,7.398225,6.085,6.94,0.458225
50,0.01,7,7.426950000000001,6.085,6.94,0.4869500000000002
50,0.01,8,7.448,6.085,6.94,0.508
50,0.02,3,7.358550000000001,6.085,6.94,0.41855000000000003
50,0.02,4,7.623399999999999,6.085,6.94,0.6833999999999999
50,0.02,5,7.753050000000001,6.085,6.94,0.8130500000000002
50,0.02,6,7.856450000000001,6.085,6.94,0.91645
50,0.02,7,7.9139,6.085,6.94,0.9739000000000004
50,0.02,8,7.9559999999999995,6.085,6.94,1.016
50,0.03,3,7.567824999999999,6.085,6.94,0.6278249999999999
50,0.03,4,7.965100000000001,6.085,6.94,1.0251000000000003
50,0.03,5,8.159575,6.085,6.94,1.2195750000000005
50,0.03,6,8.314675,6.085,6.94,1.3746750000000008
50,0.03,7,8.40085,6.085,6.94,1.4608500000000006
50,0.03,8,8.463999999999999,6.085,6.94,1.524
50,0.04,3,7.7771,6.085,6.94,0.8371000000000001
50,0.04,4,8.3068,6.085,6.94,1.3667999999999998
50,0.04,5,8.5661,6.085,6.94,1.6261000000000003
50,0.04,6,8.7729,6.085,6.94,1.8329
50,0.04,7,8.887800000000002,6.085,6.94,1.9478000000000009
50,0.04,8,8.972,6.085,6.94,2.032
50,0.05,3,7.986375000000002,6.085,6.94,1.0463750000000003
50,0.05,4,8.6485,6.085,6.94,1.7084999999999995
50,0.05,5,8.972625,6.085,6.94,2.032625
50,0.05,6,9.231124999999999,6.085,6.94,2.291124999999999
50,0.05,7,9.374749999999999,6.085,6.94,2.4347499999999993
50,0.05,8,9.479999999999999,6.085,6.94,2.54
50,0.06,3,8.19565,6.085,6.94,1.2556499999999997
50,0.06,4,8.990200000000002,6.085,6.94,2.0502000000000007
50,0.06,5,9.379150000000001,6.085,6.94,2.439150000000001
50,0.06,6,9.689350000000001,6.085,6.94,2.7493500000000015
50,0.06,7,9.8617,6.085,6.94,2.9217000000000013
50,0.06,8,9.988,6.085,6.94,3.048
50,0.07,3,8.404925000000002,6.085,6.94,1.4649250000000007
50,0.07,4,9.331900000000001,6.085,6.94,2.3919
50,0.07,5,9.785675,6.085,6.94,2.845675000000001
50,0.07,6,10.147575000000002,6.085,6.94,3.2075750000000003
50,0.07,7,10.34865,6.085,6.94,3.4086500000000006
50,0.07,8,10.496,6.085,6.94,3.5560000000000005
50,0.08,3,8.6142,6.085,6.94,1.6742000000000001
50,0.08,4,9.6736,6.085,6.94,2.7335999999999996
50,0.08,5,10.1922,6.085,6.94,3.2522000000000006
50,0.08,6,10.6058,6.085,6.94,3.6658
50,0.08,7,10.835600000000003,6.085,6.94,3.8956000000000017
50,0.08,8,11.003999999999998,6.085,6.94,4.064
50,0.09,3,8.823475,6.085,6.94,1.8834750000000007
50,0.09,4,10.0153,6.085,6.94,3.0752999999999995
50,0.09,5,10.598725000000002,6.085,6.94,3.6587250000000004
50,0.09,6,11.064024999999999,6.085,6.94,4.124025
50,0.09,7,11.322549999999998,6.085,6.94,4.382549999999999
50,0.09,8,11.511999999999999,6.085,6.94,4.571999999999999
50,0.1,3,9.03275,6.085,6.94,2.0927500000000006
50,0.1,4,10.357,6.085,6.94,3.416999999999999
50,0.1,5,11.00525,6.085,6.94,4.06525
50,0.1,6,11.52225,6.085,6.94,4.582249999999998
50,0.1,7,11.8095,6.085,6.94,4.869499999999999
50,0.1,8,12.020000000000001,6.085,6.94,5.08
