I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
50,Medium,0,3,477.0,9.540000000000004,320.0731707317073,6.401463414634149,0.0,0.0,0.28476,-0.40226,-0.11312,477.0
50,Medium,0,4,477.0,9.540000000000004,320.0731707317073,6.401463414634149,0.0,0.0,0.28476,-0.40226,-0.11312,477.0
50,Medium,0,5,477.0,9.540000000000004,320.0731707317073,6.401463414634149,0.0,0.0,0.28476,-0.40226,-0.11312,477.0
50,Medium,0,6,477.0,9.540000000000004,320.0731707317073,6.401463414634149,0.0,0.0,0.28476,-0.40226,-0.11312,477.0
50,Medium,0,7,477.0,9.540000000000004,320.0731707317073,6.401463414634149,0.0,0.0,0.28476,-0.40226,-0.11312,477.0
50,Medium,0,8,477.0,9.540000000000004,320.0731707317073,6.401463414634149,0.0,0.0,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.01,3,486.95317073170725,9.739063414634144,320.0731707317073,6.401463414634149,9.953170731707317,0.19906341463414634,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.01,4,492.7573170731707,9.855146341463414,320.0731707317073,6.401463414634149,15.757317073170734,0.31514634146341464,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.01,5,496.68975609756103,9.933795121951219,320.0731707317073,6.401463414634149,19.689756097560956,0.393795121951219,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.01,6,500.5246341463415,10.010492682926829,320.0731707317073,6.401463414634149,23.52463414634146,0.47049268292682916,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.01,7,501.97853658536576,10.03957073170732,320.0731707317073,6.401463414634149,24.978536585365863,0.4995707317073172,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.01,8,504.24439024390256,10.084887804878049,320.0731707317073,6.401463414634149,27.244390243902433,0.5448878048780489,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.02,3,496.9063414634147,9.938126829268295,320.0731707317073,6.401463414634149,19.906341463414634,0.3981268292682927,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.02,4,508.51463414634134,10.17029268292683,320.0731707317073,6.401463414634149,31.514634146341468,0.6302926829268293,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.02,5,516.3795121951217,10.327590243902439,320.0731707317073,6.401463414634149,39.37951219512191,0.787590243902438,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.02,6,524.0492682926829,10.480985365853659,320.0731707317073,6.401463414634149,47.04926829268292,0.9409853658536583,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.02,7,526.9570731707315,10.539141463414635,320.0731707317073,6.401463414634149,49.957073170731725,0.9991414634146344,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.02,8,531.4887804878048,10.629775609756097,320.0731707317073,6.401463414634149,54.48878048780487,1.0897756097560978,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.03,3,506.8595121951219,10.137190243902438,320.0731707317073,6.401463414634149,29.859512195121948,0.5971902439024395,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.03,4,524.2719512195121,10.485439024390242,320.0731707317073,6.401463414634149,47.27195121951219,0.9454390243902435,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.03,5,536.0692682926831,10.721385365853662,320.0731707317073,6.401463414634149,59.06926829268295,1.1813853658536586,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.03,6,547.5739024390243,10.951478048780485,320.0731707317073,6.401463414634149,70.57390243902434,1.411478048780487,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.03,7,551.9356097560974,11.038712195121951,320.0731707317073,6.401463414634149,74.93560975609753,1.4987121951219502,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.03,8,558.7331707317072,11.174663414634145,320.0731707317073,6.401463414634149,81.73317073170728,1.6346634146341454,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.04,3,516.8126829268292,10.336253658536586,320.0731707317073,6.401463414634149,39.81268292682927,0.7962536585365854,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.04,4,540.0292682926829,10.800585365853657,320.0731707317073,6.401463414634149,63.029268292682936,1.2605853658536585,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.04,5,555.7590243902439,11.115180487804876,320.0731707317073,6.401463414634149,78.75902439024382,1.575180487804876,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.04,6,571.0985365853658,11.421970731707315,320.0731707317073,6.401463414634149,94.09853658536584,1.8819707317073167,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.04,7,576.9141463414633,11.53828292682927,320.0731707317073,6.401463414634149,99.91414634146345,1.9982829268292688,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.04,8,585.9775609756097,11.719551219512194,320.0731707317073,6.401463414634149,108.97756097560973,2.1795512195121955,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.05,3,526.7658536585366,10.535317073170733,320.0731707317073,6.401463414634149,49.765853658536585,0.9953170731707317,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.05,4,555.7865853658536,11.115731707317071,320.0731707317073,6.401463414634149,78.78658536585365,1.5757317073170733,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.05,5,575.4487804878048,11.5089756097561,320.0731707317073,6.401463414634149,98.44878048780487,1.9689756097560978,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.05,6,594.6231707317072,11.892463414634147,320.0731707317073,6.401463414634149,117.62317073170736,2.3524634146341468,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.05,7,601.8926829268294,12.037853658536587,320.0731707317073,6.401463414634149,124.89268292682928,2.4978536585365854,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.05,8,613.2219512195121,12.264439024390244,320.0731707317073,6.401463414634149,136.2219512195122,2.724439024390243,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.06,3,536.7190243902439,10.734380487804879,320.0731707317073,6.401463414634149,59.719024390243895,1.194380487804879,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.06,4,571.5439024390242,11.430878048780485,320.0731707317073,6.401463414634149,94.54390243902438,1.890878048780487,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.06,5,595.138536585366,11.90277073170732,320.0731707317073,6.401463414634149,118.1385365853659,2.362770731707317,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.06,6,618.1478048780485,12.36295609756097,320.0731707317073,6.401463414634149,141.14780487804867,2.822956097560974,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.06,7,626.8712195121949,12.537424390243897,320.0731707317073,6.401463414634149,149.87121951219507,2.9974243902439004,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.06,8,640.4663414634148,12.809326829268288,320.0731707317073,6.401463414634149,163.46634146341455,3.269326829268291,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.07,3,546.6721951219514,10.933443902439029,320.0731707317073,6.401463414634149,69.67219512195126,1.3934439024390255,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.07,4,587.3012195121953,11.746024390243901,320.0731707317073,6.401463414634149,110.3012195121952,2.206024390243904,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.07,5,614.8282926829268,12.296565853658539,320.0731707317073,6.401463414634149,137.82829268292693,2.7565658536585387,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.07,6,641.6724390243903,12.833448780487808,320.0731707317073,6.401463414634149,164.67243902439037,3.2934487804878083,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.07,7,651.8497560975611,13.036995121951222,320.0731707317073,6.401463414634149,174.84975609756103,3.4969951219512203,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.07,8,667.7107317073169,13.354214634146334,320.0731707317073,6.401463414634149,190.71073170731702,3.814214634146341,0.28476,-0.40226,-0.11312,477.0
50,Medium,0.08,3,556.6253658536584,11.13250731707317,320.0731707317073,6.401463414634149,79.62536585365854,1.5925073170731707,0.28476,-0.40226,-0.11312,477.0
